Mods count: 158
 
jar name                                                                               | mod id (isMCreator)                                      | mixin configs
fabric-loader-0.18.4.jar (modloader)                                                   | fabric                                                   | 
AdditionalEnchantedMiner-1.20.1-fabric-20.1.1556.jar                                   | quarryplus                                               | quarryplus.mixins.json
Adorn-5.0.1+1.20.1-fabric.jar                                                          | adorn                                                    | mixins.adorn.common.json, mixins.adorn.json
ae2-emi-crafting-1.3.1.jar                                                             | ae2-emi-crafting                                         | ae2-emi-crafting.mixin.json
ae2wtlib-15.2.1-fabric.jar                                                             | ae2wtlib                                                 | ae2wtlib.mixins.json
alloy-forgery-2.1.2+1.20.jar                                                           | alloy_forgery                                            | alloy-forgery.mixins.json
    /META-INF/jars/owo-sentinel-0.11.1+1.20.jar                                        | owo-sentinel                                             | 
almostunified-fabric-1.20.1-0.11.0.jar                                                 | almostunified                                            | almostunified-common.mixins.json
alternate-current-mc1.20-1.9.0.jar                                                     | alternate-current                                        | alternate-current.mixins.json
appleskin-fabric-mc1.20.1-2.5.2.jar                                                    | appleskin                                                | appleskin.jei.mixins.json, appleskin.mixins.json
    /META-INF/jars/cloth-config-fabric-11.1.136.jar                                    | cloth-config                                             | 
        /META-INF/jars/basic-math-0.6.1.jar                                            | cloth-basic-math                                         | 
appliedenergistics2-fabric-15.4.10.jar                                                 | ae2                                                      | ae2.mixins.json
    /META-INF/jars/energy-3.0.0.jar                                                    | team_reborn_energy                                       | 
architectury-9.2.14-fabric.jar                                                         | architectury                                             | architectury.mixins.json, architectury-common.mixins.json
athena-fabric-1.20.1-3.1.2.jar                                                         | athena                                                   | athena.mixins.json
BadOptimizations-2.4.1-1.20.1.jar                                                      | badoptimizations                                         | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json
balm-fabric-1.20.1-7.3.38.jar                                                          | balm                                                     | balm.mixins.json
    /META-INF/jars/kuma-api-fabric-20.1.12+1.20.1.jar                                  | kuma_api                                                 | kuma_api.fabric.mixins.json, kuma_api.mixins.json
BetterF3-7.0.2-Fabric-1.20.1.jar                                                       | betterf3                                                 | betterf3.mixins.json
    /META-INF/jars/cloth-config-fabric-11.1.106.jar                                    | cloth-config                                             | 
        /META-INF/jars/basic-math-0.6.1.jar                                            | cloth-basic-math                                         | 
    /META-INF/jars/fabric-resource-loader-v0-0.11.8+e3d6ed2577.jar                     | fabric-resource-loader-v0                                | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
Bountiful-6.0.4+1.20.1-fabric.jar                                                      | bountiful                                                | 
BridgingMod-2.5.1+1.20.1.fabric-release.jar                                            | bridgingmod                                              | bridgingmod.mixins.json
c2me-fabric-mc1.20.1-0.2.0+alpha.11.16.jar                                             | c2me                                                     | c2me.mixins.json
    /META-INF/jars/asyncutil-0.1.0.jar                                                 | com_ibm_async_asyncutil                                  | 
    /META-INF/jars/c2me-base-mc1.20.1-0.2.0+alpha.11.16.jar                            | c2me-base                                                | c2me-base.mixins.json
    /META-INF/jars/c2me-client-uncapvd-mc1.20.1-0.2.0+alpha.11.16.jar                  | c2me-client-uncapvd                                      | c2me-client-uncapvd.mixins.json
    /META-INF/jars/c2me-fixes-chunkio-threading-issues-mc1.20.1-0.2.0+alpha.11.16.jar  | c2me-fixes-chunkio-threading-issues                      | c2me-fixes-chunkio-threading-issues.mixins.json
    /META-INF/jars/c2me-fixes-general-threading-issues-mc1.20.1-0.2.0+alpha.11.16.jar  | c2me-fixes-general-threading-issues                      | c2me-fixes-general-threading-issues.mixins.json
    /META-INF/jars/c2me-fixes-worldgen-threading-issues-mc1.20.1-0.2.0+alpha.11.16.jar | c2me-fixes-worldgen-threading-issues                     | c2me-fixes-worldgen-threading-issues.mixins.json
    /META-INF/jars/c2me-fixes-worldgen-vanilla-bugs-mc1.20.1-0.2.0+alpha.11.16.jar     | c2me-fixes-worldgen-vanilla-bugs                         | c2me-fixes-worldgen-vanilla-bugs.mixins.json
    /META-INF/jars/c2me-notickvd-mc1.20.1-0.2.0+alpha.11.16.jar                        | c2me-notickvd                                            | c2me-notickvd.mixins.json
    /META-INF/jars/c2me-opts-allocs-mc1.20.1-0.2.0+alpha.11.16.jar                     | c2me-opts-allocs                                         | c2me-opts-allocs.mixins.json
    /META-INF/jars/c2me-opts-chunk-access-mc1.20.1-0.2.0+alpha.11.16.jar               | c2me-opts-chunk-access                                   | c2me-opts-chunk-access.mixins.json
    /META-INF/jars/c2me-opts-chunkio-mc1.20.1-0.2.0+alpha.11.16.jar                    | c2me-opts-chunkio                                        | c2me-opts-chunkio.mixins.json
    /META-INF/jars/c2me-opts-math-mc1.20.1-0.2.0+alpha.11.16.jar                       | c2me-opts-math                                           | c2me-opts-math.mixins.json
    /META-INF/jars/c2me-opts-scheduling-mc1.20.1-0.2.0+alpha.11.16.jar                 | c2me-opts-scheduling                                     | c2me-opts-scheduling.mixins.json
